,label
713,1
92,1
1014,0
1444,0
1592,0
40,1
1145,0
75,1
567,1
1377,0
1103,0
1032,0
808,0
247,1
1537,0
456,1
828,0
1050,0
620,1
465,1
748,1
841,0
186,1
1433,0
479,1
156,1
667,1
312,1
8,1
864,0
1460,0
443,1
569,1
771,1
574,1
1018,0
724,1
685,1
1136,0
733,1
1532,0
445,1
672,1
464,1
1281,0
195,1
974,0
708,1
1076,0
243,1
401,1
538,1
678,1
1459,0
477,1
1432,0
1515,0
805,0
1386,0
471,1
554,1
597,1
1553,0
991,0
568,1
1484,0
426,1
1427,0
619,1
935,0
1217,0
1268,0
1517,0
582,1
1475,0
1536,0
194,1
474,1
1400,0
1412,0
49,1
576,1
726,1
656,1
711,1
44,1
1315,0
245,1
911,0
300,1
703,1
269,1
1058,0
313,1
1274,0
283,1
1280,0
540,1
406,1
338,1
466,1
363,1
648,1
320,1
1237,0
1533,0
70,1
500,1
10,1
983,0
505,1
840,0
1240,0
1404,0
64,1
1099,0
1514,0
416,1
1586,0
615,1
205,1
328,1
486,1
1544,0
1406,0
1362,0
528,1
1529,0
418,1
651,1
1431,0
688,1
590,1
792,1
985,0
472,1
1296,0
131,1
15,1
439,1
1499,0
476,1
1266,0
1025,0
1086,0
1277,0
1338,0
103,1
60,1
722,1
78,1
391,1
165,1
1084,0
878,0
1522,0
1500,0
349,1
185,1
1270,0
371,1
117,1
988,0
252,1
507,1
1584,0
311,1
768,1
395,1
1354,0
358,1
263,1
359,1
838,0
1121,0
1477,0
1349,0
1505,0
634,1
1523,0
16,1
51,1
1261,0
1228,0
601,1
1235,0
351,1
1072,0
1575,0
1457,0
1139,0
1286,0
97,1
1182,0
1447,0
196,1
1463,0
183,1
1405,0
1550,0
613,1
820,0
937,0
533,1
610,1
842,0
81,1
846,0
397,1
267,1
589,1
386,1
751,1
1389,0
132,1
265,1
904,0
1323,0
88,1
794,1
936,0
1127,0
676,1
866,0
629,1
1242,0
874,0
294,1
261,1
913,0
883,0
1321,0
1547,0
405,1
1587,0
356,1
608,1
1074,0
239,1
1057,0
1371,0
1497,0
119,1
798,0
1149,0
374,1
453,1
110,1
1309,0
1363,0
787,1
1260,0
503,1
1038,0
1197,0
1222,0
729,1
994,0
1177,0
367,1
1578,0
384,1
200,1
65,1
1331,0
899,0
971,0
272,1
1390,0
905,0
677,1
238,1
1110,0
923,0
541,1
478,1
1002,0
1238,0
1436,0
1147,0
1299,0
188,1
1458,0
681,1
1464,0
1069,0
824,0
316,1
214,1
1055,0
1473,0
1061,0
660,1
1023,0
531,1
255,1
30,1
662,1
1226,0
230,1
157,1
1491,0
385,1
1116,0
982,0
1376,0
721,1
264,1
101,1
13,1
1247,0
1013,0
1508,0
1093,0
1010,0
1548,0
566,1
1528,0
979,0
523,1
626,1
495,1
1000,0
155,1
1173,0
758,1
871,0
790,1
1322,0
1506,0
366,1
1502,0
944,0
228,1
417,1
206,1
742,1
79,1
190,1
492,1
898,0
145,1
1249,0
318,1
1347,0
1101,0
1017,0
1003,0
457,1
144,1
1332,0
1265,0
1021,0
764,1
1287,0
1381,0
943,0
1452,0
592,1
992,0
135,1
83,1
1039,0
154,1
1239,0
1256,0
773,1
927,0
127,1
1179,0
1193,0
1442,0
403,1
150,1
346,1
413,1
1276,0
1096,0
1062,0
394,1
1170,0
1031,0
1115,0
496,1
352,1
95,1
625,1
571,1
37,1
485,1
143,1
896,0
158,1
552,1
1015,0
980,0
518,1
1509,0
1418,0
236,1
1394,0
222,1
1403,0
345,1
1245,0
120,1
661,1
588,1
1594,0
900,0
62,1
1401,0
811,0
193,1
235,1
181,1
1437,0
389,1
1223,0
521,1
669,1
332,1
987,0
1269,0
1132,0
