,label
405,1
2717,0
1571,0
57,1
1370,1
731,1
2486,0
1157,1
2887,0
238,1
1912,0
3121,0
2710,0
2361,0
402,1
1248,1
2447,0
3055,0
891,1
2350,0
670,1
1593,0
1897,0
2162,0
452,1
134,1
2243,0
1515,1
912,1
204,1
2193,0
487,1
1736,0
2181,0
438,1
748,1
244,1
940,1
609,1
2530,0
935,1
2777,0
2422,0
882,1
1773,0
1610,0
1680,0
2976,0
2571,0
1697,0
1784,0
1276,1
426,1
3084,0
3200,0
1818,0
943,1
2277,0
2164,0
2908,0
812,1
459,1
1979,0
933,1
303,1
676,1
1872,0
144,1
1841,0
41,1
3095,0
2982,0
1330,1
1982,0
2935,0
2203,0
1347,1
1077,1
2543,0
2263,0
3171,0
390,1
2025,0
1526,1
2806,0
251,1
1386,1
357,1
2686,0
3063,0
1160,1
232,1
610,1
1273,1
1678,0
937,1
781,1
1694,0
68,1
993,1
1835,0
3127,0
2323,0
2144,0
1572,0
3071,0
2912,0
1293,1
1363,1
1315,1
1758,0
636,1
784,1
522,1
1287,1
2831,0
1083,1
1017,1
1583,0
2232,0
145,1
8,1
1473,1
1692,0
2510,0
162,1
2484,0
1602,0
2875,0
359,1
486,1
13,1
1446,1
2235,0
379,1
1379,1
3128,0
1884,0
757,1
1063,1
2450,0
2551,0
3236,0
1055,1
1519,1
966,1
2833,0
59,1
2332,0
963,1
2843,0
1074,1
2700,0
2473,0
1759,0
2258,0
1737,0
2889,0
2300,0
440,1
2951,0
477,1
2926,0
3219,0
715,1
2465,0
2398,0
2840,0
6,1
125,1
1489,1
708,1
1654,0
2508,0
391,1
220,1
2537,0
2010,0
1041,1
58,1
568,1
1831,0
2494,0
703,1
2765,0
261,1
2209,0
2065,0
2267,0
3065,0
1136,1
2948,0
1025,1
384,1
588,1
1283,1
1990,0
1739,0
2939,0
2095,0
2994,0
2495,0
855,1
1230,1
2114,0
1789,0
3165,0
2903,0
1648,0
1056,1
819,1
2715,0
1732,0
455,1
52,1
2048,0
20,1
2649,0
194,1
1410,1
1086,1
264,1
1840,0
1757,0
2345,0
2576,0
1774,0
2504,0
1775,0
579,1
2855,0
1460,1
2245,0
48,1
1958,0
803,1
1892,0
223,1
585,1
2561,0
1573,0
2788,0
829,1
2108,0
1354,1
3020,0
1275,1
964,1
3011,0
1147,1
286,1
1222,1
1815,0
3217,0
97,1
1099,1
2190,0
2805,0
2845,0
795,1
1262,1
1371,1
285,1
557,1
1713,0
1503,1
3207,0
1771,0
1495,1
926,1
133,1
2343,0
2266,0
602,1
2838,0
1103,1
2616,0
3026,0
949,1
3146,0
996,1
2299,0
11,1
1535,1
1725,0
442,1
2360,0
1390,1
157,1
3143,0
2641,0
505,1
1245,1
1448,1
2019,0
18,1
1362,1
200,1
646,1
1299,1
1914,0
47,1
1817,0
2501,0
1943,0
2542,0
1199,1
2981,0
1679,0
2517,0
1923,0
2073,0
897,1
1062,1
657,1
2663,0
1432,1
1332,1
1252,1
3112,0
1010,1
1695,0
413,1
2172,0
254,1
2131,0
2505,0
1260,1
684,1
300,1
128,1
1054,1
2996,0
2070,0
1257,1
1105,1
846,1
3148,0
386,1
651,1
2480,0
805,1
2868,0
366,1
2819,0
2488,0
2192,0
1301,1
3168,0
2733,0
2259,0
3040,0
1452,1
3054,0
1263,1
1411,1
458,1
1211,1
1012,1
1972,0
1240,1
2975,0
1030,1
2078,0
87,1
2846,0
1191,1
1553,1
2841,0
1018,1
2989,0
3058,0
876,1
444,1
161,1
2099,0
249,1
2808,0
980,1
884,1
2208,0
1454,1
173,1
1615,0
2566,0
1504,1
822,1
2451,0
665,1
2645,0
1856,0
2794,0
2695,0
158,1
139,1
574,1
1427,1
1376,1
3176,0
2901,0
1907,0
342,1
792,1
1000,1
2165,0
441,1
789,1
1302,1
2894,0
1621,0
2863,0
535,1
3013,0
916,1
2087,0
2436,0
43,1
1618,0
2613,0
80,1
1396,1
270,1
3173,0
2194,0
475,1
532,1
2953,0
1323,1
2779,0
1866,0
1969,0
267,1
233,1
2513,0
2378,0
3198,0
2739,0
287,1
1091,1
733,1
3172,0
512,1
810,1
2694,0
3119,0
815,1
828,1
1261,1
1751,0
279,1
2580,0
1277,1
250,1
2636,0
2104,0
2088,0
2118,0
1045,1
2978,0
31,1
3034,0
864,1
3066,0
1894,0
1493,1
2109,0
2196,0
842,1
2481,0
1521,1
1886,0
2470,0
2240,0
2001,0
2291,0
1393,1
309,1
1949,0
1783,0
490,1
818,1
2573,0
2569,0
2347,0
3174,0
2931,0
1880,0
1259,1
1165,1
892,1
970,1
2123,0
2539,0
1188,1
3056,0
1785,0
521,1
3045,0
393,1
77,1
1417,1
2696,0
262,1
1950,0
2584,0
240,1
721,1
2072,0
1702,0
2219,0
1058,1
2027,0
799,1
2441,0
1507,1
381,1
2630,0
2410,0
1808,0
1036,1
1210,1
2876,0
1494,1
106,1
85,1
1226,1
1039,1
474,1
1195,1
1142,1
2762,0
2564,0
431,1
513,1
2351,0
1351,1
2727,0
633,1
1587,0
629,1
2355,0
1961,0
2390,0
1826,0
345,1
2420,0
2719,0
1586,0
2094,0
310,1
735,1
187,1
1763,0
677,1
2014,0
3214,0
415,1
516,1
917,1
3064,0
344,1
294,1
1096,1
904,1
642,1
2248,0
2474,0
1766,0
2611,0
1992,0
2395,0
1168,1
593,1
1670,0
2578,0
260,1
832,1
1343,1
1827,0
1115,1
500,1
2487,0
2174,0
1715,0
1767,0
2333,0
1657,0
3133,0
1319,1
3016,0
2229,0
3205,0
2677,0
2735,0
2631,0
1627,0
3247,0
2112,0
360,1
2874,0
620,1
2327,0
986,1
34,1
690,1
3230,0
1786,0
376,1
101,1
3240,0
1486,1
2687,0
2033,0
946,1
2035,0
2132,0
2241,0
1455,1
506,1
1867,0
1453,1
1612,0
1205,1
61,1
1175,1
3158,0
2143,0
2882,0
2600,0
456,1
1550,1
1116,1
2075,0
519,1
1813,0
147,1
2541,0
3018,0
50,1
72,1
3060,0
36,1
2295,0
2158,0
1852,0
2531,0
2522,0
142,1
1471,1
1888,0
2293,0
2379,0
2746,0
2698,0
2713,0
1192,1
3115,0
1317,1
1918,0
2944,0
2791,0
1170,1
2004,0
2524,0
152,1
1451,1
2904,0
1611,0
1691,0
2940,0
1073,1
1639,0
42,1
3102,0
5,1
55,1
1804,0
987,1
1067,1
3231,0
511,1
3087,0
3201,0
1335,1
241,1
2434,0
255,1
1902,0
1279,1
871,1
2705,0
2549,0
893,1
1419,1
1991,0
915,1
3006,0
473,1
1869,0
985,1
335,1
551,1
1285,1
328,1
2829,0
66,1
1819,0
2691,0
718,1
2166,0
2254,0
140,1
1097,1
1029,1
1082,1
1772,0
2664,0
2985,0
583,1
3175,0
2183,0
2317,0
2198,0
1119,1
1628,0
102,1
2548,0
2629,0
2740,0
3160,0
278,1
2043,0
1947,0
185,1
2285,0
208,1
1193,1
1959,0
3086,0
724,1
3025,0
19,1
1150,1
468,1
3139,0
54,1
1213,1
1529,1
2202,0
1088,1
3037,0
2998,0
2491,0
1537,1
2137,0
1137,1
2396,0
750,1
2319,0
1126,1
82,1
122,1
3203,0
1945,0
3118,0
2215,0
3046,0
2950,0
1568,0
2373,0
3181,0
1372,1
2115,0
2804,0
2883,0
689,1
1146,1
1069,1
214,1
2055,0
2500,0
3156,0
38,1
1703,0
2697,0
2706,0
1748,0
2797,0
1322,1
1076,1
796,1
1625,0
2331,0
2795,0
339,1
1528,1
315,1
3223,0
159,1
293,1
318,1
1676,0
717,1
2734,0
3244,0
2738,0
190,1
598,1
978,1
2110,0
2468,0
2052,0
2340,0
2155,0
2497,0
1661,0
1939,0
1998,0
2778,0
2249,0
2575,0
811,1
2382,0
534,1
3248,0
479,1
2213,0
1957,0
2625,0
974,1
2817,0
1295,1
726,1
1540,1
1421,1
2525,0
1358,1
2044,0
394,1
2459,0
2670,0
2923,0
2325,0
1008,1
3035,0
1228,1
408,1
434,1
2160,0
219,1
383,1
301,1
272,1
88,1
2836,0
3152,0
813,1
2439,0
866,1
